ID_MSA redshift           ID     teO3 teO3_e teO2 teO2_e O/H  O/H_e logN/O logN/O_e logNe/O logNe/O_e logS/O logS/O_e logAr/O logAr/O_e logMg/O logMg/O_e ne     ne_e   ICF(N)
  100002 3.4217861337501425 100002 0.96 0.07   0.97 0.07   8.44 0.04  -1.4   0.08     -0.62   0.09      -1.84  0.26     0.0     0.0       0.0     0.0       166.0  107.0  3.1964
  200003 3.1935519943970654 200003 1.26 0.12   1.24 0.11   8.13 0.03  0.0    0.0      0.0     0.0       0.0    0.0      -2.67   0.55      -1.49   0.1       10.0   10.0   3.844 
  200004 3.023495993099343  200004 1.27 0.11   1.24 0.1    8.15 0.02  -1.65  0.11     -0.71   0.06      -1.83  0.11     -2.71   0.95      0.0     0.0       10.0   10.0   4.4706
  300009 2.7669796397621504 300009 1.79 0.32   1.52 0.25   7.77 0.03  -1.16  0.04     -0.82   0.08      -1.92  0.27     -2.47   0.51      0.0     0.0       10.0   10.0   2.145 
  300042 3.333064491002677  300042 1.46 0.13   1.38 0.11   7.98 0.02  -1.51  0.15     -0.86   0.07      -1.46  0.19     0.0     0.0       -1.61   0.08      1129.0 2255.0 6.3005
  300055 3.2025615969786756 300055 1.14 0.12   1.13 0.11   8.23 0.04  -1.35  0.07     -0.73   0.1       -1.72  0.11     -2.61   0.45      0.0     0.0       89.0   84.0   3.8399
  300064 3.2729173179644233 300064 1.02 0.09   1.02 0.09   8.17 0.04  -0.83  0.06     -0.62   0.1       0.0    0.0      -2.47   0.09      0.0     0.0       607.0  158.0  3.3375
  400012 2.027855647442101  400012 1.5  0.15   1.4  0.13   7.89 0.03  -1.22  0.06     -0.79   0.06      -1.56  0.11     -2.54   0.08      0.0     0.0       74.0   72.0   2.6921
  400014 2.9091056922104377 400014 1.64 0.24   1.47 0.2    7.78 0.03  -0.99  0.1      -0.88   0.1       0.0    0.0      -2.18   0.37      0.0     0.0       10.0   10.0   2.4495
  400079 3.272706067234619  400079 1.17 0.09   1.16 0.09   8.32 0.03  -1.61  0.17     -0.63   0.07      0.0    0.0      -2.76   0.13      0.0     0.0       254.0  258.0  3.9647
  600093 2.4985041214797508 600093 1.26 0.12   1.24 0.11   8.07 0.03  -1.46  0.08     -0.71   0.07      -1.82  0.17     -2.55   0.1       0.0     0.0       202.0  146.0  4.3063
  600143 2.332252331264892  600143 1.39 0.11   1.33 0.1    8.02 0.02  -1.35  0.05     -0.74   0.05      0.0    0.0      -2.39   0.07      0.0     0.0       167.0  71.0   3.0802
  600149 2.6420537735735654 600149 1.17 0.13   1.16 0.13   8.38 0.09  -1.31  0.13     -0.67   0.13      0.0    0.0      -2.76   0.17      -1.63   0.16      10.0   10.0   3.9681
  600152 2.587151410196659  600152 1.78 0.21   1.52 0.17   7.69 0.02  -1.22  0.1      -0.71   0.05      0.0    0.0      -2.32   1.04      0.0     0.0       429.0  380.0  4.4729
  1005   3.6761094654803017 1005   1.42 0.09   1.35 0.07   7.95 0.02  -1.11  0.07     -0.76   0.04      0.0    0.0      0.0     0.0       0.0     0.0       10.0   10.0   5.2769
  2005   3.1062600730126464 2005   1.54 0.06   1.42 0.06   7.99 0.02  -1.29  0.13     -0.78   0.03      -1.6   0.1      -2.66   0.22      -1.67   0.06      262.0  501.0  9.2086
  2009   3.0739272976269767 2009   1.55 0.11   1.43 0.1    7.91 0.04  -1.35  0.09     -0.74   0.07      -1.67  0.13     -2.4    0.44      0.0     0.0       303.0  419.0  5.0513
  4019   3.2531207867666563 4019   1.47 0.19   1.38 0.17   7.92 0.02  -1.61  0.15     -0.85   0.08      0.0    0.0      -2.4    0.71      0.0     0.0       728.0  520.0  3.9277
  6229   2.598324130276901  6229   1.2  0.1    1.19 0.09   8.2  0.03  -1.22  0.05     -0.76   0.07      0.0    0.0      -2.67   0.08      0.0     0.0       244.0  127.0  4.1228
  6242   3.126615715411371  6242   1.41 0.08   1.35 0.07   7.98 0.01  -1.52  0.09     -0.72   0.04      -1.41  0.11     -2.59   0.31      0.0     0.0       10.0   10.0   5.6644
  6498   3.1093317097662387 6498   2.0  0.17   1.56 0.12   7.56 0.01  -1.03  0.19     -0.72   0.08      0.0    0.0      0.0     0.0       0.0     0.0       10.0   10.0   11.273
  10006  3.1167482146992045 10006  1.69 0.27   1.49 0.22   7.82 0.08  -1.19  0.1      -0.83   0.11      0.0    0.0      0.0     0.0       0.0     0.0       10.0   10.0   2.671 
  10007  3.3182188057337507 10007  1.33 0.13   1.29 0.12   8.03 0.03  -1.65  0.12     -0.67   0.07      0.0    0.0      -2.44   0.16      0.0     0.0       49.0   198.0  3.7341
  10008  3.0622287818712977 10008  1.52 0.13   1.41 0.11   7.9  0.01  -1.41  0.12     -0.81   0.05      -1.86  0.24     -2.33   0.78      0.0     0.0       152.0  172.0  3.9105
  20064  3.0496160828842704 20064  1.6  0.1    1.45 0.08   7.91 0.02  -1.08  0.05     -0.69   0.04      -1.68  0.12     -2.44   0.41      -1.88   0.05      778.0  322.0  3.7269
  20084  2.9380332912151697 20084  1.54 0.3    1.42 0.26   7.87 0.03  -1.23  0.09     -0.75   0.09      0.0    0.0      -2.35   1.11      0.0     0.0       606.0  510.0  3.4026
  60284  4.038593326461597  60284  1.35 0.17   1.3  0.15   8.02 0.03  0.0    0.0      -0.64   0.09      0.0    0.0      0.0     0.0       0.0     0.0       10.0   10.0   4.5252
