name,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
BX52,237.9553400,19.1524200,15:51:49.282,+19:09:08.712,circle,,blue,BX52,2.7359,color=blue  width=2 text={BX52} comment={2.7359},3
MD28,238.0009100,19.2051400,15:52:00.218,+19:12:18.504,circle,,darkgreen,MD28,2.5364 QSO,color=darkgreen  width=2 text={MD28} comment={2.5364 QSO},4
C8,237.9391100,19.1471800,15:51:45.386,+19:08:49.848,circle,,red,C8,2.9373,color=red  width=2 text={C8} comment={2.9373},5
C9,237.9446100,19.1978900,15:51:46.706,+19:11:52.404,circle,,blue,C9,2.9208,color=blue  width=2 text={C9} comment={2.9208},6
C17,237.9803300,19.2054200,15:51:55.279,+19:12:19.512,circle,,blue,C17,2.9361,color=blue  width=2 text={C17} comment={2.9361},7
C22,238.0159900,19.1620000,15:52:03.838,+19:09:43.200,circle,,red,C22,2.9622,color=red  width=2 text={C22} comment={2.9622},8
D7,237.9427000,19.1639200,15:51:46.248,+19:09:50.112,circle,,red,D7,2.9362,color=red  width=2 text={D7} comment={2.9362},9
D12,237.9592200,19.1377300,15:51:50.213,+19:08:15.828,circle,,blue,D12,2.7339,color=blue  width=2 text={D12} comment={2.7339},10
LAE979,237.7985250,19.0269717,15:51:11.646,+19:01:37.098,point,cross,cyan,'LAE979',,point=cross 14 color=cyan width=2 text={'LAE979'},11
LAE984,238.0903750,19.0287200,15:52:21.690,+19:01:43.392,point,cross,cyan,'LAE984',,point=cross 14 color=cyan width=2 text={'LAE984'},12
LAE987,237.8652917,19.0297669,15:51:27.670,+19:01:47.161,point,cross,cyan,'LAE987',,point=cross 14 color=cyan width=2 text={'LAE987'},13
LAE995,237.8828167,19.0303417,15:51:31.876,+19:01:49.230,point,cross,cyan,'LAE995',,point=cross 14 color=cyan width=2 text={'LAE995'},14
LAE997,238.0475792,19.0322442,15:52:11.419,+19:01:56.079,point,cross,cyan,'LAE997',,point=cross 14 color=cyan width=2 text={'LAE997'},15
LAE999,238.0023875,19.0332103,15:52:00.573,+19:01:59.557,point,cross,cyan,'LAE999',,point=cross 14 color=cyan width=2 text={'LAE999'},16
LAE1001,237.8011000,19.0335769,15:51:12.264,+19:02:00.877,point,cross,cyan,'LAE1001',,point=cross 14 color=cyan width=2 text={'LAE1001'},17
LAE1003,237.7904125,19.0343828,15:51:09.699,+19:02:03.778,point,cross,cyan,'LAE1003',,point=cross 14 color=cyan width=2 text={'LAE1003'},18
LAE1004,238.0916750,19.0345225,15:52:22.002,+19:02:04.281,point,cross,cyan,'LAE1004',,point=cross 14 color=cyan width=2 text={'LAE1004'},19
LAE1006,237.9578250,19.0373208,15:51:49.878,+19:02:14.355,point,cross,cyan,'LAE1006',,point=cross 14 color=cyan width=2 text={'LAE1006'},20
LAE1010,237.8116792,19.0389725,15:51:14.803,+19:02:20.301,point,cross,cyan,'LAE1010',,point=cross 14 color=cyan width=2 text={'LAE1010'},21
LAE1013,238.0820583,19.0388303,15:52:19.694,+19:02:19.789,point,cross,cyan,'LAE1013',,point=cross 14 color=cyan width=2 text={'LAE1013'},22
