RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Ude,zlya,zabs,zneb,type,comments,FULL_ID,SED_ID,stellar_mass,z_best
237.91144,19.15287,307.9,5.9,BX1,Q1549,24.47,-0.05,0.32,yes,-2.0,1.745,-1.0,GAL,"""wk high ions""",Q1549-BX1,Q1549-BX1,1079731200.0,1.745
237.98053,19.15891,407.0,1118.0,BX101,Q1549,22.71,0.23,0.82,yes,2.3808,2.3822,2.3806,QSO,"""kcwi cube q1549-BX101; has associated absorption with z>zneb; zneb mosfr 5/2014 close1H,K""",Q1549-BX101,Q1549-BX101,92011635000.0,2.3806
237.98326,19.21228,1313.7,1164.9,BX102,Q1549,24.36,0.18,0.44,yes,2.1958,2.189,2.1934,GAL,"""zneb msfr, 2012+2014;nz; m7; v. strong double em line; weaker @2.1883; also on KCWI cube Q1549-BX102""",Q1549-BX102,Q1549-BX102,6922167300.0,2.1934
237.98377,19.21303,1326.4,1173.2,BX103,Q1549,25.44,0.45,1.39,yes,-2.0,1.919,-2.0,GAL,"""spectrum on KCWI cube for BX102; BX103b has z=2.135 Lya, from cube""",Q1549-BX103,Q1549-BX103,914065410.0,1.919
237.98369,19.19474,1015.8,1171.1,BX104,Q1549,24.97,0.33,0.67,yes,-1.0,-1.0,2.0748,GAL,"""zneb mosfire 2014""",Q1549-BX104,Q1549-BX104,4026050000.0,2.0748
237.98659,19.20045,1112.6,1218.1,BX109,Q1549,24.13,0.23,0.49,yes,-2.0,1.814,-1.0,GAL,"""nz; m4""",Q1549-BX109,Q1549-BX109,2859471900.0,1.814
237.98734,19.18027,769.9,1229.3,BX113,Q1549,23.67,0.11,0.65,yes,-2.0,2.0797,-1.0,GAL,"""nz; m1""",Q1549-BX113,Q1549-BX113,6989744600.0,2.0797
237.98881,19.16607,528.7,1252.4,BX119,Q1549,23.75,0.15,0.63,yes,-2.0,1.8712,1.878,GAL,"""msfr m1 5/16; nz; m4; has xtra abs lines""",Q1549-BX119,Q1549-BX119,3753096400.0,1.878
237.9896,19.18218,802.2,1265.8,BX121,Q1549,25.38,0.21,0.71,yes,2.5066,-2.0,2.4983,GAL,"""nebz=2.4985 msfr; nz; m7; double Lya line; weaker comp @2.496""",Q1549-BX121,Q1549-BX121,400460480.0,2.4983
237.99087,19.14178,116.1,1284.6,BX124,Q1549,23.67,-0.06,0.18,yes,-2.0,1.576,-1.0,GAL,"""nz; m2""",Q1549-BX124,Q1549-BX124,2517314800.0,1.576
