name,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
BX14,237.9204700,19.2008000,15:51:40.913,+19:12:02.880,circle,,blue,BX14,2.875,color=blue  width=2 text={BX14} comment={2.875},3
BX84,237.9737400,19.2068400,15:51:53.698,+19:12:24.624,circle,,blue,BX84,2.825,color=blue  width=2 text={BX84} comment={2.825},4
MD34,238.0263700,19.2134700,15:52:06.329,+19:12:48.492,circle,,blue,MD34,2.851,color=blue  width=2 text={MD34} comment={2.851},5
MD7,237.9480300,19.1704200,15:51:47.527,+19:10:13.512,circle,,red,MD7,2.8517,color=red  width=2 text={MD7} comment={2.8517},6
MD9,237.9613400,19.1606400,15:51:50.722,+19:09:38.304,circle,,blue,MD9,2.845,color=blue  width=2 text={MD9} comment={2.845},7
MD23,237.9920800,19.1364600,15:51:58.099,+19:08:11.256,circle,,blue,MD23,2.8415,color=blue  width=2 text={MD23} comment={2.8415},8
MD12,237.9661800,19.1781100,15:51:51.883,+19:10:41.196,circle,,red,MD12,"2.8495 LyC leaker CO detection, complex morphology","color=red  width=2 text={MD12} comment={2.8495 LyC leaker CO detection, complex morphology}",9
MD5,237.9383900,19.1847500,15:51:45.214,+19:11:05.100,circle,,red,MD5,3.1426 LyC leaker,color=red  width=2 text={MD5} comment={3.1426 LyC leaker},10
MD34,238.0263700,19.2134700,15:52:06.329,+19:12:48.492,circle,,red,MD34,2.851 LyC leaker,color=red  width=2 text={MD34} comment={2.851 LyC leaker},11
D24,238.0219900,19.1625600,15:52:05.278,+19:09:45.216,circle,,red,D24,2.9441 LyC leaker,color=red  width=2 text={D24} comment={2.9441 LyC leaker},12
M16,237.9735800,19.1580800,15:51:53.659,+19:09:29.088,circle,,red,M16,2.9539 LyC leaker,color=red  width=2 text={M16} comment={2.9539 LyC leaker},13
D14,237.9719400,19.1836600,15:51:53.266,+19:11:01.176,circle,,blue,D14,2.8506 LBG inside QSO nebula,color=blue  width=2 text={D14} comment={2.8506 LBG inside QSO nebula},14
C1,237.9152300,19.1779700,15:51:39.655,+19:10:40.692,circle,,blue,C1,2.8411,color=blue  width=2 text={C1} comment={2.8411},15
C4,237.9350600,19.1902200,15:51:44.414,+19:11:24.792,circle,,blue,C4,2.859,color=blue  width=2 text={C4} comment={2.859},16
C6,237.9365000,19.1758000,15:51:44.760,+19:10:32.880,circle,,blue,C6,2.83,color=blue  width=2 text={C6} comment={2.83},17
C7,237.9385300,19.2036600,15:51:45.247,+19:12:13.176,circle,,blue,C7,2.843,color=blue  width=2 text={C7} comment={2.843},18
C12,237.9556700,19.1645900,15:51:49.361,+19:09:52.524,circle,,blue,C12,2.8372,color=blue  width=2 text={C12} comment={2.8372},19
C13,237.9570400,19.1827800,15:51:49.690,+19:10:58.008,circle,,blue,C13,2.8393 in LAB33,color=blue  width=2 text={C13} comment={2.8393 in LAB33},20
C14,237.9609000,19.1551200,15:51:50.616,+19:09:18.432,circle,,blue,C14,2.843,color=blue  width=2 text={C14} comment={2.843},21
