ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
1,237.96474000,19.18521000,Primary,0.010460,-0.028963,258.0059,237.98819653,19.18231555,408.6748,-502.9921,3,57,64,0.351,0.448,-1.00000000,+2.60473323,+2.76878214,-2.00000000
2,237.97402000,19.18614000,Primary,0.009198,-0.016944,258.0059,237.98819653,19.18231555,390.2561,-477.1529,3,45,123,0.304,0.495,-1.00000000,+2.58648682,+2.75072145,-2.00000000
3,237.96366000,19.18492000,Primary,0.010357,-0.030410,258.0059,237.98819653,19.18231555,411.3883,-505.6778,3,56,57,0.371,0.341,-1.00000000,+2.60015798,+2.76418328,-2.00000000
4,237.99200000,19.20727780,Primary,0.033499,0.012168,258.0059,237.98819653,19.18231555,293.9364,-461.3011,4,276,25,0.742,0.715,-1.00000000,-2.00000000,-2.00000000,-2.00000000
31,237.95704000,19.18278000,Primary,0.009228,-0.039359,258.0059,237.98819653,19.18231555,429.1572,-521.4999,3,45,13,0.637,0.374,-1.00000000,+2.55822754,+2.72209811,-2.00000000
39,237.96546000,19.17103000,Primary,-0.009223,-0.032075,258.0059,237.98819653,19.18231555,451.9387,-475.7796,1,320,49,0.252,0.201,-1.00000000,+2.08425999,+2.24825788,-2.00000000
53,238.01416670,19.16702780,Primary,-0.028438,0.029097,258.0059,237.98819653,19.18231555,383.0973,-324.4420,2,138,108,0.315,0.830,-1.00000000,-1.00000000,+1.79935586,-2.00000000
56,238.00912920,19.18010220,Primary,-0.008893,0.026334,258.0059,237.98819653,19.18231555,350.5234,-362.4957,2,324,95,0.496,0.280,-1.00000000,+2.15192056,+2.31664348,-2.00000000
106,237.97025000,19.19470280,Primary,0.022023,-0.019259,258.0059,237.98819653,19.18231555,369.7027,-503.4638,3,167,112,0.472,0.135,-1.00000000,+2.92043519,+3.08463764,-2.00000000
111,237.97116670,19.19502220,Primary,0.022214,-0.018004,258.0059,237.98819653,19.18231555,367.1698,-501.3140,3,169,118,0.293,0.301,-1.00000000,+2.92751527,+3.09173560,-2.00000000
117,238.00895830,19.17614720,Primary,-0.014331,0.024972,258.0059,237.98819653,19.18231555,363.2096,-356.0036,2,272,88,0.704,0.581,-1.00000000,+2.00555491,+2.17026567,-2.00000000
