name,RA,Dec,comments
LAB27,237.8278000,19.1441556, point=box 18 color=#00DD00 width=2
LAB28,237.8493750,19.1544917, point=box 18 color=#00DD00 width=2
LAB29,238.0694750,19.1615722, point=box 18 color=#00DD00 width=2
LAB30,237.9686667,19.1844528, point=box 18 color=#00DD00 width=2
LAB31,238.0854250,19.1810028, point=box 18 color=#00DD00 width=2
LAB33,237.9571625,19.1823833, point=box 18 color=#00DD00 width=2
LAB34,237.9779750,19.1848444, point=box 18 color=#00DD00 width=2
LAB36,237.9914542,19.1883806, point=box 18 color=#00DD00 width=2
LAB39,237.9349958,19.1901111, point=box 18 color=#00DD00 width=2
LAB40,238.0719167,19.2041667, point=box 18 color=#00DD00 width=2
LAB42,237.9698792,19.1942139, point=box 18 color=#00DD00 width=2
LAB43,237.9490125,19.1965417, point=box 18 color=#00DD00 width=2
LAB45,237.9479208,19.1999167, point=box 18 color=#00DD00 width=2
LAB46,237.9919333,19.2073528, point=box 18 color=#00DD00 width=2
LAB49,238.0142292,19.2144306, point=box 18 color=#00DD00 width=2
LAB54,238.0582083,19.2452056, point=box 18 color=#00DD00 width=2
LAB56,237.8309500,19.2709139, point=box 18 color=#00DD00 width=2
LAB57,238.1101958,19.2837111, point=box 18 color=#00DD00 width=2
LAB59,237.7919625,19.2954111, point=box 18 color=#00DD00 width=2
LAB63,238.1092042,19.3042361, point=box 18 color=#00DD00 width=2
LAB66,238.0761750,19.3478056, point=box 18 color=#00DD00 width=2
LAE979,237.7985250,19.0269717, point=cross 14 color=cyan width=2
LAE984,238.0903750,19.0287200, point=cross 14 color=cyan width=2
LAE987,237.8652917,19.0297669, point=cross 14 color=cyan width=2
LAE995,237.8828167,19.0303417, point=cross 14 color=cyan width=2
LAE997,238.0475792,19.0322442, point=cross 14 color=cyan width=2
LAE999,238.0023875,19.0332103, point=cross 14 color=cyan width=2
LAE1001,237.8011000,19.0335769, point=cross 14 color=cyan width=2
LAE1003,237.7904125,19.0343828, point=cross 14 color=cyan width=2
LAE1004,238.0916750,19.0345225, point=cross 14 color=cyan width=2
LAE1006,237.9578250,19.0373208, point=cross 14 color=cyan width=2
LAE1010,237.8116792,19.0389725, point=cross 14 color=cyan width=2
LAE1013,238.0820583,19.0388303, point=cross 14 color=cyan width=2
LAE1015,238.0898917,19.0398256, point=cross 14 color=cyan width=2
LAE1022,237.7987083,19.0412336, point=cross 14 color=cyan width=2
LAE1028,237.9131167,19.0419289, point=cross 14 color=cyan width=2
LAE1034,237.8624292,19.0432903, point=cross 14 color=cyan width=2
LAE1039,238.1131625,19.0434286, point=cross 14 color=cyan width=2
LAE1041,237.8136333,19.0431369, point=cross 14 color=cyan width=2
LAE1045,238.0091750,19.0434928, point=cross 14 color=cyan width=2
LAE1051,237.8618917,19.0476431, point=cross 14 color=cyan width=2
LAE1054,237.9224250,19.0496022, point=cross 14 color=cyan width=2
LAE1063,237.9771417,19.0539353, point=cross 14 color=cyan width=2
LAE1069,237.7956500,19.0568439, point=cross 14 color=cyan width=2
LAE1070,237.8822750,19.0574403, point=cross 14 color=cyan width=2
LAE1071,237.9603708,19.0578678, point=cross 14 color=cyan width=2
LAE1078,238.0504500,19.0589642, point=cross 14 color=cyan width=2
LAE1085,237.8159583,19.0617467, point=cross 14 color=cyan width=2
LAE1088,237.8112792,19.0626881, point=cross 14 color=cyan width=2
LAE1090,238.0347458,19.0633978, point=cross 14 color=cyan width=2
LAE1093,237.9056333,19.0636875, point=cross 14 color=cyan width=2
LAE1095,237.8060375,19.0648358, point=cross 14 color=cyan width=2
LAE1096,237.9013542,19.0655806, point=cross 14 color=cyan width=2
LAE1100,237.9896208,19.0669856, point=cross 14 color=cyan width=2
LAE1102,237.8382375,19.0667939, point=cross 14 color=cyan width=2
LAE1104,237.8430333,19.0678044, point=cross 14 color=cyan width=2
LAE1108,238.0604792,19.0687067, point=cross 14 color=cyan width=2
LAE1109,237.8167958,19.0678772, point=cross 14 color=cyan width=2
LAE1114,237.8227208,19.0704886, point=cross 14 color=cyan width=2
LAE1117,237.9033750,19.0694900, point=cross 14 color=cyan width=2
LAE1118,237.9651125,19.0711164, point=cross 14 color=cyan width=2
LAE1125,238.0379417,19.0722922, point=cross 14 color=cyan width=2
LAE1126,237.9845750,19.0741669, point=cross 14 color=cyan width=2
LAE1130,237.9720375,19.0751819, point=cross 14 color=cyan width=2
LAE1136,237.8179167,19.0754894, point=cross 14 color=cyan width=2
LAE1138,238.0759333,19.0762428, point=cross 14 color=cyan width=2
LAE1141,238.0499708,19.0764839, point=cross 14 color=cyan width=2
LAE1142,237.8299750,19.0766269, point=cross 14 color=cyan width=2
LAE1152,238.0459958,19.0806289, point=cross 14 color=cyan width=2
LAE1155,237.8957250,19.0807944, point=cross 14 color=cyan width=2
LAE1160,237.7880083,19.0837650, point=cross 14 color=cyan width=2
LAE1167,237.9587000,19.0851153, point=cross 14 color=cyan width=2
LAE1172,238.1018875,19.0875758, point=cross 14 color=cyan width=2
LAE1181,237.8344625,19.0896308, point=cross 14 color=cyan width=2
LAE1185,238.1240000,19.0903453, point=cross 14 color=cyan width=2
LAE1189,238.1316167,19.0917033, point=cross 14 color=cyan width=2
LAE1203,237.8117208,19.0942019, point=cross 14 color=cyan width=2
LAE1205,238.0026625,19.0947383, point=cross 14 color=cyan width=2
LAE1207,238.1226417,19.0944417, point=cross 14 color=cyan width=2
LAE1208,237.8221542,19.0947106, point=cross 14 color=cyan width=2
LAE1209,237.8791917,19.0955042, point=cross 14 color=cyan width=2
LAE1211,237.8228417,19.0963406, point=cross 14 color=cyan width=2
LAE1212,237.9642875,19.0954889, point=cross 14 color=cyan width=2
LAE1213,238.0697625,19.0962753, point=cross 14 color=cyan width=2
LAE1215,237.8975500,19.0970758, point=cross 14 color=cyan width=2
LAE1216,238.0168500,19.0975558, point=cross 14 color=cyan width=2
LAE1220,237.8488167,19.0986258, point=cross 14 color=cyan width=2
LAE1221,237.9897292,19.0976044, point=cross 14 color=cyan width=2
LAE1222,237.9978375,19.0992142, point=cross 14 color=cyan width=2
LAE1223,237.9643292,19.0993978, point=cross 14 color=cyan width=2
LAE1224,238.1147750,19.0986825, point=cross 14 color=cyan width=2
LAE1227,238.0616375,19.0996206, point=cross 14 color=cyan width=2
LAE1228,238.1144917,19.0980817, point=cross 14 color=cyan width=2
LAE1229,238.0046208,19.0999939, point=cross 14 color=cyan width=2
LAE1233,237.9099458,19.1006464, point=cross 14 color=cyan width=2
LAE1237,237.9835583,19.1014650, point=cross 14 color=cyan width=2
LAE1241,237.8000833,19.1025192, point=cross 14 color=cyan width=2
LAE1243,237.9235917,19.1027811, point=cross 14 color=cyan width=2
LAE1245,237.8431792,19.1032606, point=cross 14 color=cyan width=2
LAE1246,237.9098708,19.1042108, point=cross 14 color=cyan width=2
LAE1247,237.9738583,19.1034542, point=cross 14 color=cyan width=2
LAE1252,237.9833583,19.1027389, point=cross 14 color=cyan width=2
LAE1253,237.9875958,19.1049847, point=cross 14 color=cyan width=2
LAE1260,238.0185208,19.1067800, point=cross 14 color=cyan width=2
LAE1263,238.0438917,19.1076769, point=cross 14 color=cyan width=2
