group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
Primary,MD10,150,150,150,,,0,2.8491,True,,,237.9647400,19.1852100,15:51:51.538,+19:11:06.756,circle,,darkgreen,MD10,2.8491 QSO,color=darkgreen  width=2 text={MD10} comment={2.8491 QSO},3
Primary,MD17,150,150,150,,,0,2.8450,True,,,237.9740200,19.1861400,15:51:53.765,+19:11:10.104,circle,,darkgreen,MD17,2.845 QSO,color=darkgreen  width=2 text={MD17} comment={2.845 QSO},4
Primary,M15,150,150,150,,,0,2.8411,True,,,237.9636600,19.1849200,15:51:51.278,+19:11:05.712,circle,,darkgreen,M15,2.8411 AGN,color=darkgreen  width=2 text={M15} comment={2.8411 AGN},5
Primary,GNB4950b,50,50,150,50,^GNB,0,2.8516,True,,,237.9920000,19.2072778,15:51:58.080,+19:12:26.200,circle,,green,GNB4950b,"2.85162 QSO, LAB46","color=green width=2 text={GNB4950b} comment={2.85162 QSO, LAB46}",6
Primary,SMG8502,150,150,150,,,0,2.8340,True,,,238.0139583,19.2143611,15:52:03.350,+19:12:51.700,circle,,red,SMG850.2,"2.834 likely AGN, LyC leaker lae2436 in Mostardi+13","color=red  width=2 text={SMG850.2} comment={2.834 likely AGN, LyC leaker lae2436 in Mostardi+13}",7
Primary,C25,150,150,150,,,0,3.1526,True,,,238.0252900,19.1912100,15:52:06.070,+19:11:28.356,circle,,red,C25,3.1526 confirmed LyC leaker Shapley+2016,color=red  width=2 text={C25} comment={3.1526 confirmed LyC leaker Shapley+2016},8
Primary,MD12,150,150,150,,,0,2.8495,True,,,237.9661800,19.1781100,15:51:51.883,+19:10:41.196,circle,,red,MD12,"2.8495 LyC leaker CO detection, complex morphology","color=red  width=2 text={MD12} comment={2.8495 LyC leaker CO detection, complex morphology}",9
Primary,GNB2920,50,50,150,50,^GNB,0,2.8687,True,,,237.9749167,19.1782889,15:51:53.980,+19:10:41.840,circle,,green,GNB2920,2.86873 CO detection,color=green width=2 text={GNB2920} comment={2.86873 CO detection},10
Primary,GNB2087,50,50,150,50,^GNB,0,2.8396,True,,,237.9577500,19.1815694,15:51:49.860,+19:10:53.650,circle,,green,GNB2087,2.8396 LAB system around C13,color=green width=2 text={GNB2087} comment={2.8396 LAB system around C13},11
Primary,GNB4748,50,50,150,50,^GNB,0,2.8452,True,,,237.9919167,19.1893639,15:51:58.060,+19:11:21.710,circle,,green,GNB4748,2.8452 north of a LAB,color=green width=2 text={GNB4748} comment={2.8452 north of a LAB},12
