ID,RA,DEC,Redshift,Label,Weight,Reference,FWHM,R50,Stellarity,Area,Ellipticity,Theta
1,237.96474,19.18521,0.0,MD10,300,true,0.0,0.0,-1.0,0.0,0.0,0.0
2,237.97402,19.18614,0.0,MD17,300,true,0.0,0.0,-1.0,0.0,0.0,0.0
3,237.96366,19.184919999999998,0.0,M15,300,true,0.0,0.0,-1.0,0.0,0.0,0.0
4,237.992,19.2072778,0.0,GNB4950b,300,true,0.0,0.0,-1.0,0.0,0.0,0.0
5,238.0139583,19.214361099999998,0.0,SMG8502,300,true,0.0,0.0,-1.0,0.0,0.0,0.0
6,238.02529,19.19121,0.0,C25,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
7,237.96618,19.17811,0.0,MD12,100,true,0.0,0.0,-1.0,0.0,0.0,0.0
8,237.9749167,19.1782889,0.0,GNB2920,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
9,237.95775,19.1815694,0.0,GNB2087,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
10,237.9919167,19.1893639,0.0,GNB4748,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
11,238.0004583,19.1713833,0.0,GNB4731,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
12,237.971375,19.1762222,0.0,GNB2753,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
13,237.9713333,19.1825028,0.0,NB1931,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
14,237.9724583,19.1829944,0.0,GNB1617,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
15,237.97194,19.183659999999996,0.0,D14,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
16,237.92046999999997,19.2008,0.0,BX14,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
17,237.97373999999996,19.20684,0.0,BX84,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
18,238.02637,19.21347,0.0,MD34,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
19,237.94803,19.17042,0.0,MD7,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
20,237.96134,19.16064,0.0,MD9,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
21,237.99207999999996,19.13646,0.0,MD23,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
22,237.93839,19.18475,0.0,MD5,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
23,238.02637,19.21347,0.0,MD34,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
24,238.02199,19.16256,0.0,D24,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
25,237.97358,19.15808,0.0,M16,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
26,237.91523,19.17797,0.0,C1,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
27,237.93506,19.19022,0.0,C4,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
28,237.9365,19.1758,0.0,C6,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
29,237.93853,19.20366,0.0,C7,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
30,237.95567,19.16459,0.0,C12,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
31,237.95704,19.18278,0.0,C13,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
32,237.9609,19.15512,0.0,C14,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
33,237.96395,19.1721,0.0,C15,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
34,238.0234,19.21989,0.0,C24,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
35,237.93325,19.19436,0.0,D4,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
36,237.9383,19.151459999999997,0.0,D6,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
37,237.94921,19.13727,0.0,D9,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
38,237.95735,19.150820000000003,0.0,D11,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
39,237.96546,19.17103,0.0,D13,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
40,237.97194,19.183659999999996,0.0,D14,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
41,237.98934,19.18401,0.0,D17,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
42,237.99874,19.16092,0.0,D18,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
43,238.00112000000001,19.1613,0.0,D19,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
44,238.00202,19.17432,0.0,D20,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
45,238.0067417,19.1518389,0.0,D22,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
46,238.0156,19.15679,0.0,D23,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
47,238.03332,19.14884,0.0,D25,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
48,238.03465,19.16357,0.0,D27,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
49,237.92227,19.16832,0.0,M2,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
50,237.93198,19.162449999999996,0.0,M6,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
51,238.00563000000002,19.21691,0.0,M21,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
52,237.9490125,19.1965417,0.0,LAB43,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
53,238.0141667,19.1670278,0.0,SMGI,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
54,237.9841875,19.1657342,0.0,LAE1561,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
55,238.019425,19.1950528,0.0,lae7180,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
56,238.0091292,19.1801022,0.0,LAE1653,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
57,237.9484583,19.166825,0.0,GNB1687,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
58,237.9582917,19.1782056,0.0,GNB2100,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
59,238.0265833,19.1784278,0.0,GNB3532,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
60,237.9890417,19.1648028,0.0,GNB5270,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
61,237.9353333,19.1965417,0.0,GNB1007,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
62,237.93625,19.1458528,0.0,GNB1062,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
63,237.93625,19.1458528,0.0,GNB1062,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
64,237.936125,19.1568833,0.0,GNB1071,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
65,237.9369167,19.1839306,0.0,GNB1104,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
66,237.94150000000002,19.1395278,0.0,GNB1144,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
67,237.9388333,19.158213900000003,0.0,GNB1145,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
68,237.938125,19.2095222,0.0,GNB1179,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
69,237.9393333,19.1865806,0.0,GNB1230,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
70,237.939375,19.1500056,0.0,GNB1256,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
71,237.9152917,19.2209361,0.0,GNB126,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
72,237.9401667,19.1912778,0.0,GNB1266,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
73,237.9402917,19.166199999999996,0.0,GNB1276,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
74,237.9396667,19.1914583,0.0,GNB1281,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
75,237.941125,19.1625028,0.0,GNB1330,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
76,237.94375,19.2107222,0.0,GNB1393,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
77,237.9586667,19.2077444,0.0,GNB1514,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
78,237.94575000000003,19.1394472,0.0,GNB1521,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
79,237.9458333,19.1841778,0.0,GNB1562,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
80,237.9467917,19.16485,0.0,GNB1623,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
81,237.9477917,19.2000694,0.0,GNB1627,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
82,237.9479167,19.14735,0.0,GNB1664,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
83,237.94975,19.1509194,0.0,GNB1737,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
84,237.95075,19.1417444,0.0,GNB1772,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
85,237.9522083,19.2008611,0.0,GNB1867,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
86,237.9545833,19.1895778,0.0,GNB1942,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
87,237.958125,19.2187389,0.0,GNB1962,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
88,237.955125,19.1867611,0.0,GNB1972,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
89,237.9554583,19.145666700000003,0.0,GNB1982,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
90,237.95712500000002,19.1803139,0.0,GNB2041,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
91,237.96458329999996,19.1827361,0.0,GNB2044,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
92,237.9565417,19.1815722,0.0,GNB2063,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
93,237.95745829999998,19.2132444,0.0,GNB2102,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
94,237.9599583,19.174997199999996,0.0,GNB2232,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
95,237.9605417,19.174313899999998,0.0,GNB2249,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
96,237.9615833,19.1761833,0.0,GNB2273,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
97,237.9615833,19.1761833,0.0,GNB2273,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
98,237.9637083,19.1771556,0.0,GNB2387,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
99,237.9637083,19.1771556,0.0,GNB2387,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
100,237.9646667,19.1796667,0.0,GNB2423,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
101,237.96975,19.1941417,0.0,GNB2512,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
102,237.96675,19.1779778,0.0,GNB2551,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
103,237.9670833,19.1619333,0.0,GNB2554,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
104,237.968375,19.1687194,0.0,GNB2614,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
105,237.9676667,19.194688900000003,0.0,GNB2624,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
106,237.97025,19.1947028,0.0,GNB2659,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
107,237.96866670000003,19.2100361,0.0,GNB2664,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
108,237.9700417,19.175294400000002,0.0,GNB2717,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
109,237.9700417,19.175294400000002,0.0,GNB2717,60,true,0.0,0.0,-1.0,0.0,0.0,0.0
