 name     wave_obs   wave_err        e.w.    none   none       fwhm(A)     fwhm(km/s)   z(line) linename
HS0105+1619 23986.35 0.0949493   71.3393    -751.3  0.180685     370.9        4638.9     2.6539  Ha 
Q0207-003 10807.08 0.0030338   0.31017    -102.2  0.0012153     239.8        6656.7      2.8615  MgII
Q0449-1645 24176.9 0.0303398   28.7935     -949.  0.0763748     354.2        4395.1      2.6829  Ha 
Q0821+3107 23761.68 0.0741504   44.8997    -605.5   0.10647     396.2        5002.2      2.6197  Ha
Q1009+29  10191.94  3803.391   90347.1    -23.75   785.127     108.1        3179.0      2.6417   MgII 
Q1217+490 24300.51 0.0994027   10.5689    -106.3 0.0616586      161.        8505.       2.7017   CIV 
Q1442+2931 24030.52 0.0762063   53.0437    -696.1   0.14922     333.9        4168.5      2.6606  Ha 
Q1549+1919 10782.49 0.0477339   2.60656    -54.61 0.0089985     272.1        7570.6      2.8527  MgII 
HS1603+3820 23271.08 0.1035816   81.6747    -788.5   0.17767     431.9        5567.9     2.5449  Ha
Q1623-KP77 17188.15 1.819E-27 1.137E-25    -62.51 1.002E-27     106.6        4400.      2.5347  CIV
Q1623-KP76 16852.85 9.543E-28 8.884E-26    -93.09 3.791E-28     220.1        3918.0     2.4657  Hb
Q2206-199  23475.23 0.0570465   47.4046     -831.  0.123942     359.3        4591.7      2.5760  Ha
Q2343+12  23458.64  0.090951   92.8076    -1020.  0.226635     384.7        4919.7      2.5735 Ha      








