RA,Decl
15.78142,13.28404
15.78195,13.27525
15.78524,13.27826
17.00674,16.5668
26.32376,-9.74838
26.32285,-9.75222
32.47523,-0.07491
32.43984,-0.13071
44.741536,0.212853
125.22895,31.09895
125.24689,31.14935
237.98053,19.15891
238.015,19.21452
237.99199,19.20723
237.96366,19.18492
237.96474,19.18521
237.97402,19.18614
238.00091,19.20514
255.21746,64.25812
339.0892429,13.9588136
356.60088,12.80236
356.50886,12.80739
356.61778,12.81727
356.60589,12.79552
214.504715,52.495014
214.546753,52.503426
339.875266,11.789784
334.290161,0.300204
334.22233091,0.3450005
