SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0100-RedGal,195730490000.0,77.0,15.782486,13.277545,987.69,825.54,RedGal,Q0100,25.4,1.05,1.53,yes,2.3,-1.0,-1.0,GAL,host galaxy for giant Lya blob (photo-z),Q0100-RedGal,2.3,,,,,,,,,,,
Q0100-BX1,1371126300.0,2.0,15.7335429,13.2985437,1345.87,13.69,BX1,Q0100,24.99,-0.16,0.68,yes,2.1165,2.113,-1.0,GAL,LM1;poss. multiple z's,Q0100-BX1,2.113,,,,,,,,,,,
Q0100-BX11,4275936500.0,3.0,15.7348656,13.2871344,1151.99,35.22,BX11,Q0100,24.75,0.03,0.32,yes,2.174,2.169,-1.0,GAL,nz;  f1,Q0100-BX11,2.169,,,,,,,,,,,
Q0100-BX118,6596237800.0,6.0,15.7684252,13.2521121,556.0,591.18,BX118,Q0100,24.16,0.0,0.45,yes,2.1134,2.1058,2.1091,GAL,nz;  m5+f1,Q0100-BX118,2.1091,,,,,,,,,,,
Q0100-BX122,7984673300.0,4.0,15.7688522,13.2603323,695.64,598.56,BX122,Q0100,24.89,0.23,0.64,yes,-2.0,2.0692,-1.0,GAL,nz;  m7+m9,Q0100-BX122,2.0692,,,,,,,,,,,
Q0100-BX125,3870193700.0,19.0,15.7691799,13.2870561,1149.66,604.93,BX125,Q0100,24.3,0.29,0.66,yes,2.715,2.707,-1.0,GAL,,Q0100-BX125,2.707,,,,,,,,,,,
Q0100-BX132,2520682200.0,50.0,15.7746755,13.3046299,1448.08,696.78,BX132,Q0100,23.21,0.41,1.05,yes,-2.0,-2.0,2.1007,GAL,"zneb only, mosfire",Q0100-BX132,2.1007,,,,,,,,,,,
Q0100-BX135,8214366200.0,16.0,15.775964,13.301174,1389.33,718.06,BX135,Q0100,24.31,0.34,1.15,yes,2.4096,2.405,-1.0,GAL,nz;  mN1,Q0100-BX135,2.405,,,,,,,,,,,
Q0100-BX138,4935314900.0,15.0,15.7761195,13.2684081,832.64,719.51,BX138,Q0100,24.75,0.7,1.5,yes,-2.0,2.725,-1.0,GAL,"nz;  noisy, z not precise; z from m10/ap1",Q0100-BX138,2.725,,,,,,,,,,,
Q0100-BX141,4693403600.0,7.0,15.7771112,13.3037738,1433.46,737.19,BX141,Q0100,24.42,0.52,0.74,yes,-2.0,2.368,-1.0,GAL,"nz;  m6,m10; z from m10",Q0100-BX141,2.368,,,,,,,,,,,
Q0100-BX151,6515121700.0,2.0,15.7794719,13.2780284,996.0,775.5,BX151,Q0100,25.45,0.06,0.34,yes,-2.0,-2.0,2.4306,GAL,"z    from mosfire, Sep 2012, red R-K=4.03; blended w/BX150 in SED photometry, all flux attribted to",Q0100-BX151,2.4306,,,,,,,,,,,
Q0100-BX152,59369722000.0,23.0,15.7798945,13.2389857,332.67,781.19,BX152,Q0100,24.83,0.58,1.1,yes,-1.0,-1.0,2.3002,GAL,"zneb mosfire, Nov 2014, hiprij2b",Q0100-BX152,2.3002,,,,,,,,,,,
Q0100-BX160,21118312000.0,8.0,15.7813777,13.2839347,1096.29,807.35,BX160,Q0100,24.43,0.13,0.4,yes,2.306,2.296,2.3034,QSO,"nz;  ha+n2 well detected, sigma~700 km/s; m3[ap1]; also m6,m7,m10[ap1]",Q0100-BX160,2.3034,,,,,,,,,,,
