name,RA,Dec,comments
LAB15,237.7985792,19.0154028, point=box 18 color=#00DD00 width=2
LAB27,237.8278000,19.1441556, point=box 18 color=#00DD00 width=2
LAB28,237.8493750,19.1544917, point=box 18 color=#00DD00 width=2
LAB29,238.0694750,19.1615722, point=box 18 color=#00DD00 width=2
LAB30,237.9686667,19.1844528, point=box 18 color=#00DD00 width=2
LAB31,238.0854250,19.1810028, point=box 18 color=#00DD00 width=2
LAB33,237.9571625,19.1823833, point=box 18 color=#00DD00 width=2
LAB34,237.9779750,19.1848444, point=box 18 color=#00DD00 width=2
LAB36,237.9914542,19.1883806, point=box 18 color=#00DD00 width=2
LAB39,237.9349958,19.1901111, point=box 18 color=#00DD00 width=2
LAB40,238.0719167,19.2041667, point=box 18 color=#00DD00 width=2
LAB42,237.9698792,19.1942139, point=box 18 color=#00DD00 width=2
LAB43,237.9490125,19.1965417, point=box 18 color=#00DD00 width=2
LAB45,237.9479208,19.1999167, point=box 18 color=#00DD00 width=2
LAB46,237.9919333,19.2073528, point=box 18 color=#00DD00 width=2
LAB49,238.0142292,19.2144306, point=box 18 color=#00DD00 width=2
LAB54,238.0582083,19.2452056, point=box 18 color=#00DD00 width=2
LAB56,237.8309500,19.2709139, point=box 18 color=#00DD00 width=2
LAB57,238.1101958,19.2837111, point=box 18 color=#00DD00 width=2
LAB59,237.7919625,19.2954111, point=box 18 color=#00DD00 width=2
LAB62,237.7569875,19.3048611, point=box 18 color=#00DD00 width=2
LAB63,238.1092042,19.3042361, point=box 18 color=#00DD00 width=2
LAB66,238.0761750,19.3478056, point=box 18 color=#00DD00 width=2
LAE869,237.8184542,18.9854358, point=cross 14 color=cyan width=2
LAE871,238.1224417,18.9855694, point=cross 14 color=cyan width=2
LAE872,238.0980417,18.9853289, point=cross 14 color=cyan width=2
LAE876,237.8699542,18.9856883, point=cross 14 color=cyan width=2
LAE884,238.1654125,18.9899650, point=cross 14 color=cyan width=2
LAE887,238.1797750,18.9896628, point=cross 14 color=cyan width=2
LAE891,238.0258958,18.9913511, point=cross 14 color=cyan width=2
LAE892,237.8053125,18.9922703, point=cross 14 color=cyan width=2
LAE895,237.9138917,18.9933689, point=cross 14 color=cyan width=2
LAE902,237.9360083,18.9948939, point=cross 14 color=cyan width=2
LAE904,237.8534250,18.9946817, point=cross 14 color=cyan width=2
LAE905,237.9356250,18.9953492, point=cross 14 color=cyan width=2
LAE910,237.7919958,18.9964025, point=cross 14 color=cyan width=2
LAE912,237.7450125,18.9964578, point=cross 14 color=cyan width=2
LAE915,238.0242042,18.9971061, point=cross 14 color=cyan width=2
LAE916,237.7892750,18.9974289, point=cross 14 color=cyan width=2
LAE919,237.8902000,19.0002506, point=cross 14 color=cyan width=2
LAE921,237.7748917,19.0002547, point=cross 14 color=cyan width=2
LAE932,238.0138000,19.0061944, point=cross 14 color=cyan width=2
LAE934,237.9011125,19.0079364, point=cross 14 color=cyan width=2
LAE939,238.0425917,19.0105569, point=cross 14 color=cyan width=2
LAE940,237.9993583,19.0123619, point=cross 14 color=cyan width=2
LAE941,238.0810292,19.0125914, point=cross 14 color=cyan width=2
LAE942,238.0829125,19.0127486, point=cross 14 color=cyan width=2
LAE943,238.0886708,19.0125689, point=cross 14 color=cyan width=2
LAE947,237.8229708,19.0129261, point=cross 14 color=cyan width=2
LAE948,237.8825542,19.0138444, point=cross 14 color=cyan width=2
LAE949,238.0474375,19.0135717, point=cross 14 color=cyan width=2
LAE950,237.8724375,19.0147258, point=cross 14 color=cyan width=2
LAE951,237.8308875,19.0149433, point=cross 14 color=cyan width=2
LAE952,237.7990958,19.0149778, point=cross 14 color=cyan width=2
LAE963,238.1128333,19.0203178, point=cross 14 color=cyan width=2
LAE965,237.7930833,19.0209689, point=cross 14 color=cyan width=2
LAE969,237.7555125,19.0237772, point=cross 14 color=cyan width=2
LAE970,237.8061417,19.0238103, point=cross 14 color=cyan width=2
LAE974,238.1342083,19.0240906, point=cross 14 color=cyan width=2
LAE975,237.8688542,19.0254478, point=cross 14 color=cyan width=2
LAE979,237.7985250,19.0269717, point=cross 14 color=cyan width=2
LAE984,238.0903750,19.0287200, point=cross 14 color=cyan width=2
LAE987,237.8652917,19.0297669, point=cross 14 color=cyan width=2
LAE992,237.7485917,19.0314500, point=cross 14 color=cyan width=2
LAE995,237.8828167,19.0303417, point=cross 14 color=cyan width=2
LAE997,238.0475792,19.0322442, point=cross 14 color=cyan width=2
LAE999,238.0023875,19.0332103, point=cross 14 color=cyan width=2
LAE1001,237.8011000,19.0335769, point=cross 14 color=cyan width=2
LAE1003,237.7904125,19.0343828, point=cross 14 color=cyan width=2
LAE1004,238.0916750,19.0345225, point=cross 14 color=cyan width=2
LAE1006,237.9578250,19.0373208, point=cross 14 color=cyan width=2
LAE1010,237.8116792,19.0389725, point=cross 14 color=cyan width=2
LAE1013,238.0820583,19.0388303, point=cross 14 color=cyan width=2
LAE1015,238.0898917,19.0398256, point=cross 14 color=cyan width=2
LAE1022,237.7987083,19.0412336, point=cross 14 color=cyan width=2
LAE1028,237.9131167,19.0419289, point=cross 14 color=cyan width=2
LAE1034,237.8624292,19.0432903, point=cross 14 color=cyan width=2
LAE1039,238.1131625,19.0434286, point=cross 14 color=cyan width=2
LAE1041,237.8136333,19.0431369, point=cross 14 color=cyan width=2
LAE1045,238.0091750,19.0434928, point=cross 14 color=cyan width=2
LAE1048,238.1632625,19.0465194, point=cross 14 color=cyan width=2
LAE1051,237.8618917,19.0476431, point=cross 14 color=cyan width=2
LAE1054,237.9224250,19.0496022, point=cross 14 color=cyan width=2
LAE1057,238.1533958,19.0503933, point=cross 14 color=cyan width=2
LAE1061,238.1684667,19.0532961, point=cross 14 color=cyan width=2
LAE1062,237.7615625,19.0535856, point=cross 14 color=cyan width=2
LAE1063,237.9771417,19.0539353, point=cross 14 color=cyan width=2
LAE1064,238.1787042,19.0540244, point=cross 14 color=cyan width=2
LAE1069,237.7956500,19.0568439, point=cross 14 color=cyan width=2
LAE1070,237.8822750,19.0574403, point=cross 14 color=cyan width=2
LAE1071,237.9603708,19.0578678, point=cross 14 color=cyan width=2
LAE1074,237.7808458,19.0574411, point=cross 14 color=cyan width=2
LAE1076,238.1522875,19.0591428, point=cross 14 color=cyan width=2
LAE1078,238.0504500,19.0589642, point=cross 14 color=cyan width=2
LAE1085,237.8159583,19.0617467, point=cross 14 color=cyan width=2
LAE1088,237.8112792,19.0626881, point=cross 14 color=cyan width=2
LAE1090,238.0347458,19.0633978, point=cross 14 color=cyan width=2
LAE1093,237.9056333,19.0636875, point=cross 14 color=cyan width=2
LAE1095,237.8060375,19.0648358, point=cross 14 color=cyan width=2
LAE1096,237.9013542,19.0655806, point=cross 14 color=cyan width=2
LAE1099,237.7686750,19.0656811, point=cross 14 color=cyan width=2
LAE1100,237.9896208,19.0669856, point=cross 14 color=cyan width=2
LAE1102,237.8382375,19.0667939, point=cross 14 color=cyan width=2
LAE1104,237.8430333,19.0678044, point=cross 14 color=cyan width=2
LAE1107,237.7586417,19.0684281, point=cross 14 color=cyan width=2
LAE1108,238.0604792,19.0687067, point=cross 14 color=cyan width=2
LAE1109,237.8167958,19.0678772, point=cross 14 color=cyan width=2
LAE1114,237.8227208,19.0704886, point=cross 14 color=cyan width=2
LAE1117,237.9033750,19.0694900, point=cross 14 color=cyan width=2
LAE1118,237.9651125,19.0711164, point=cross 14 color=cyan width=2
LAE1125,238.0379417,19.0722922, point=cross 14 color=cyan width=2
LAE1126,237.9845750,19.0741669, point=cross 14 color=cyan width=2
LAE1130,237.9720375,19.0751819, point=cross 14 color=cyan width=2
LAE1132,237.7502125,19.0739628, point=cross 14 color=cyan width=2
LAE1136,237.8179167,19.0754894, point=cross 14 color=cyan width=2
LAE1138,238.0759333,19.0762428, point=cross 14 color=cyan width=2
LAE1141,238.0499708,19.0764839, point=cross 14 color=cyan width=2
LAE1142,237.8299750,19.0766269, point=cross 14 color=cyan width=2
LAE1152,238.0459958,19.0806289, point=cross 14 color=cyan width=2
LAE1155,237.8957250,19.0807944, point=cross 14 color=cyan width=2
LAE1157,237.7666000,19.0829956, point=cross 14 color=cyan width=2
LAE1160,237.7880083,19.0837650, point=cross 14 color=cyan width=2
LAE1167,237.9587000,19.0851153, point=cross 14 color=cyan width=2
LAE1172,238.1018875,19.0875758, point=cross 14 color=cyan width=2
LAE1175,237.7459958,19.0869353, point=cross 14 color=cyan width=2
LAE1180,237.7582917,19.0884414, point=cross 14 color=cyan width=2
LAE1181,237.8344625,19.0896308, point=cross 14 color=cyan width=2
LAE1185,238.1240000,19.0903453, point=cross 14 color=cyan width=2
LAE1189,238.1316167,19.0917033, point=cross 14 color=cyan width=2
LAE1195,238.1372083,19.0925789, point=cross 14 color=cyan width=2
LAE1199,237.7833333,19.0932356, point=cross 14 color=cyan width=2
LAE1203,237.8117208,19.0942019, point=cross 14 color=cyan width=2
LAE1205,238.0026625,19.0947383, point=cross 14 color=cyan width=2
LAE1206,238.1502083,19.0940903, point=cross 14 color=cyan width=2
LAE1207,238.1226417,19.0944417, point=cross 14 color=cyan width=2
LAE1208,237.8221542,19.0947106, point=cross 14 color=cyan width=2
LAE1209,237.8791917,19.0955042, point=cross 14 color=cyan width=2
LAE1211,237.8228417,19.0963406, point=cross 14 color=cyan width=2
LAE1212,237.9642875,19.0954889, point=cross 14 color=cyan width=2
LAE1213,238.0697625,19.0962753, point=cross 14 color=cyan width=2
LAE1215,237.8975500,19.0970758, point=cross 14 color=cyan width=2
LAE1216,238.0168500,19.0975558, point=cross 14 color=cyan width=2
LAE1220,237.8488167,19.0986258, point=cross 14 color=cyan width=2
LAE1221,237.9897292,19.0976044, point=cross 14 color=cyan width=2
LAE1222,237.9978375,19.0992142, point=cross 14 color=cyan width=2
LAE1223,237.9643292,19.0993978, point=cross 14 color=cyan width=2
LAE1224,238.1147750,19.0986825, point=cross 14 color=cyan width=2
LAE1227,238.0616375,19.0996206, point=cross 14 color=cyan width=2
LAE1228,238.1144917,19.0980817, point=cross 14 color=cyan width=2
LAE1229,238.0046208,19.0999939, point=cross 14 color=cyan width=2
LAE1233,237.9099458,19.1006464, point=cross 14 color=cyan width=2
LAE1237,237.9835583,19.1014650, point=cross 14 color=cyan width=2
LAE1241,237.8000833,19.1025192, point=cross 14 color=cyan width=2
LAE1242,238.1385208,19.1026486, point=cross 14 color=cyan width=2
LAE1243,237.9235917,19.1027811, point=cross 14 color=cyan width=2
LAE1245,237.8431792,19.1032606, point=cross 14 color=cyan width=2
LAE1246,237.9098708,19.1042108, point=cross 14 color=cyan width=2
LAE1247,237.9738583,19.1034542, point=cross 14 color=cyan width=2
